City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,pavlovsk,50.4578,40.1081,8.39,92,100,6.27,RU,1681422228
340,correntina,-13.3433,-44.6367,24.88,59,68,1.74,BR,1681422229
341,komsomolskiy,40.4272,71.7189,14.4,82,2,2.06,UZ,1681422229
342,beringovskiy,63.05,179.3167,-15.12,81,39,3.35,RU,1681422229
343,ahipara,-35.1667,173.1667,19.89,83,67,4.16,NZ,1681422229
344,los llanos de aridane,28.6585,-17.9182,17.86,87,100,6.69,ES,1681422230
345,charters towers,-20.1,146.2667,24.42,23,63,3.69,AU,1681422230
346,kavieng,-2.5744,150.7967,28.73,77,57,5.2,PG,1681422230
347,dillon,34.4166,-79.3712,26.19,61,62,5.0,US,1681422230
348,ler,8.3018,30.1418,26.92,52,91,1.76,SS,1681422231
349,alikalia,9.1667,-11.4,26.71,63,86,2.2,SL,1681422231
350,tessalit,20.1986,1.0114,28.41,10,66,4.74,ML,1681422231
351,flagstaff,35.1981,-111.6513,14.22,32,0,11.83,US,1681421974
352,la paz,-16.5,-68.15,13.52,44,22,1.16,BO,1681421969
353,zhangjiakou,40.81,114.8794,7.17,26,92,5.15,CN,1681422232
354,klyuchi,52.2667,79.1667,6.63,46,22,5.19,RU,1681422233
355,petrozavodsk,61.7849,34.3469,-1.3,39,9,5.0,RU,1681422234
356,buala,-8.145,159.5921,28.12,75,83,1.83,SB,1681422234
357,batagay-alyta,67.8006,130.4114,-14.88,86,98,1.84,RU,1681422234
358,tabou,4.423,-7.3528,27.19,84,64,2.46,CI,1681422235
359,skopelos,39.1247,23.7247,16.79,79,14,3.3,GR,1681422235
360,vire,48.9167,-0.8333,4.66,95,100,2.76,FR,1681422235
361,nanakuli,21.3906,-158.1547,27.97,55,75,8.75,US,1681422236
362,zaysan,47.4667,84.8667,4.9,50,58,1.5,KZ,1681422236
363,decatur,39.8403,-88.9548,27.86,22,0,4.12,US,1681422040
364,dire,12.2833,-10.9667,32.61,18,29,0.9,ML,1681422237
365,kholm,59.2667,32.85,1.09,73,99,4.67,RU,1681422237
366,champerico,14.3,-91.9167,32.3,61,72,4.37,GT,1681422238
367,fort myers beach,26.452,-81.9481,28.92,70,0,4.63,US,1681422238
368,mazagao,-0.115,-51.2894,28.03,86,93,1.69,BR,1681422238
369,annamalainagar,11.4,79.7333,25.83,73,22,2.35,IN,1681422238
370,acapulco,16.8634,-99.8901,29.9,66,40,3.09,MX,1681421954
371,progreso,21.2833,-89.6667,32.06,57,3,6.23,MX,1681422239
372,vestmanna,62.1564,-7.1664,6.51,70,75,2.06,FO,1681422239
373,tateyama,34.9833,139.8667,17.42,76,87,7.04,JP,1681422239
374,kochi,9.9399,76.2602,27.99,84,68,2.7,IN,1681422240
375,bud,39.447,-86.1758,27.04,30,2,2.48,US,1681422242
376,port blair,11.6667,92.75,26.55,77,13,2.14,IN,1681422243
377,asyut,27.181,31.1837,19.1,23,1,2.2,EG,1681422243
378,sisimiut,66.9395,-53.6735,-3.24,86,18,2.86,GL,1681422244
379,albina,5.5,-54.05,25.87,79,96,2.16,SR,1681422245
380,hofn,64.2539,-15.2082,5.25,72,100,5.39,IS,1681422246
381,gornopravdinsk,60.05,69.9,-14.6,95,82,2.74,RU,1681422246
382,araouane,18.9048,-3.5265,28.62,10,72,5.12,ML,1681422248
383,farah,32.5,62.5,24.69,15,84,1.54,AF,1681422248
384,loa janan,-0.583,117.095,23.21,99,100,0.61,ID,1681422249
385,banda aceh,5.5577,95.3222,26.52,82,96,1.84,ID,1681422249
386,pasni,25.2631,63.471,25.76,76,0,3.43,PK,1681422250
387,alcanena,39.459,-8.6689,12.84,77,88,2.14,PT,1681422250
388,abay,49.6311,72.8539,8.21,50,100,3.33,KZ,1681422250
389,muyuka,4.2898,9.4103,25.19,93,69,0.46,CM,1681422251
390,moen,69.1304,18.6123,-0.6,80,0,1.54,NO,1681422251
391,roald,62.5833,6.1333,12.51,50,0,5.66,NO,1681422252
392,makakilo city,21.3469,-158.0858,27.18,61,75,8.75,US,1681422253
393,karpogory,64.0019,44.4451,-17.52,98,20,1.0,RU,1681422253
394,okhotsk,59.3833,143.3,-5.6,82,100,4.73,RU,1681422253
395,chake chake,-5.2459,39.7666,26.33,82,99,2.0,TZ,1681422254
396,krasnoselkup,65.7,82.4667,-21.03,99,90,4.04,RU,1681422255
397,vangaindrano,-23.35,47.6,22.03,92,27,1.26,MG,1681422256
398,praia da vitoria,38.7333,-27.0667,18.14,82,75,5.12,PT,1681422256
399,tarakan,3.3,117.6333,25.72,100,40,1.54,ID,1681422257
400,laguna,38.421,-121.4238,20.16,26,0,6.17,US,1681422021
401,kirkwall,58.9848,-2.9587,5.54,93,75,1.03,GB,1681422044
402,corrente,-3.7367,-43.3394,24.57,87,32,1.23,BR,1681422258
403,mnogovershinnyy,53.9353,139.9242,-6.99,92,100,4.35,RU,1681422258
404,kisangani,0.5167,25.2,21.8,99,100,0.63,CD,1681422259
405,kasongo-lunda,-6.4667,16.8167,21.55,92,51,0.13,CD,1681422259
406,ierapetra,35.01,25.7353,15.64,76,0,2.79,GR,1681422260
